Repeaters,Maidenhead Locator,Latitude,Latitude Uncert,Longitude,Longitude Uncert
NI4CE Holiday,EL88PE,28.1875000000,0.0208333333,-82.7083333333,0.0416666667
NI4CE Boyette (Riverview),EL87UU,27.8541666667,0.0208333333,-82.2916666667,0.0416666667
NI4CE Bartow,EL97BV,27.8958333333,0.0208333333,-81.8750000000,0.0416666667
NI4CE Verna 2m,EL87UJ,27.3958333333,0.0208333333,-82.2916666667,0.0416666667
NI4CE Verna 70cm,EL87VJ,27.3958333333,0.0208333333,-82.2083333333,0.0416666667
NI4CE Lake Placid,EL97HH,27.3125000000,0.0208333333,-81.3750000000,0.0416666667
NI4CE Babcock,EL96CT,26.8125000000,0.0208333333,-81.7916666667,0.0416666667
SARNET Tampa (NX4Y),EL88TC,28.1041666667,0.0208333333,-82.3750000000,0.0416666667
SARNET Lakeland (N4KEG),EL98AA,28.0208333333,0.0208333333,-81.9583333333,0.0416666667
SARNET Skyway Bridge (AG4UU),EL87QS,27.7708333333,0.0208333333,-82.6250000000,0.0416666667
SARNET Sarasota,EL87SI,27.3541666667,0.0208333333,-82.4583333333,0.0416666667
